##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	BT20 paired-end RNA-seq subsampled _end 1_
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	419200
Sequences flagged as poor quality	0
Sequence length	50
%GC	51
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
12	13	-0.14030028815646745
12	14	-0.038790386209981875
12	15	-0.28114585347667287
12	16	-0.2546498923278975
12	17	-0.11144118301845651
12	18	0.03361426230095077
12	19	-0.08780375733095269
12	20	-0.10755205160241132
12	21	-0.23050843881609495
12	22	-0.1274687506030716
12	23	-0.21888042971966115
12	24	-0.2930006231955602
12	25	-0.4415747041402227
12	26	-0.09792775965986777
12	27	-0.3592945906796885
12	28	-0.28378204231206894
12	29	-0.4837218959465517
12	30	-0.4318207492082067
12	31	-0.5178328786555539
12	32	-0.44982464089950724
12	33	-0.517226618578924
12	34	-0.47735160470021754
12	35	-0.5922097981936503
12	36	-0.35293489916554677
12	37	-0.38278637330503784
12	38	-0.7007517924287257
12	39	-0.5048306062959327
12	40	-0.47176492344944876
12	41	-0.5440023443496713
12	42	-0.6077471044645506
12	43	-0.5823923741617705
12	44	-0.46825327288032526
12	45	-0.3644835139415079
12	46	-0.016264799481248815
12	47	-0.0155225626262947
12	48	0.16294714222869544
12	49	-0.0077745676402614095
12	50	0.051221145484596775
13	1	-0.05995023987670578
13	2	-0.07608671382914167
13	3	-0.21933178439233103
13	4	-0.06315419930030686
13	5	-0.22560053938516944
13	6	-0.13167721631405271
13	7	-0.15407444418691085
13	8	-0.12360783325681268
13	9	-0.18860994018896093
13	10	-0.12542382953394338
13	11	-0.5183729406265556
13	12	-0.5877624982063807
13	13	-0.5365061275424878
13	14	-0.4008199740785443
13	15	-0.23885591431218245
13	16	-0.1581292446046021
13	17	-0.32021603675946153
13	18	-0.28772343308254733
13	19	-0.47706186587467414
13	20	-0.21711083983036872
13	21	-0.10819271143051168
13	22	-0.16523889250687773
13	23	-0.3154079360123987
13	24	-0.4873793396828745
13	25	-0.5528001247419922
